,MREQ_Number,FFID,Date_and_Time_of_Request,Section,Order_Type,Item_Category,Item_Description,Quantity_Required,Unit,Unit_Price,Total_Cost,Category,Date_Required,Delivery_Location,Location_WBS,Activity_WBS,Current_Stage,Operational_Approval,Commercial_Approval,Buyer,Days_To_Delivery,Price_Unit_Lower_Bound_2SD,Price_Unit_Upper_Bound_2SD,Unit_Price_Annomaly
5682,MREQ-9043-001024,9043,2018-11-13,Section 4,Material,Not on List,Not on List,200,Each,0.5,100.0,Miscellaneous,2018-11-15,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,153a - Temporary Works - Site Infrastructure,Stores - Closed,,Yes - Approve,REQ - Section 4 Buyers,2.0,0.0,19779.141357421875,0
5683,MREQ-9043-001024,9043,2018-11-13,Section 4,Material,Not on List,Not on List,75,Each,5.5,412.5,Miscellaneous,2018-11-15,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,153a - Temporary Works - Site Infrastructure,Stores - Closed,,Yes - Approve,REQ - Section 4 Buyers,2.0,0.0,19779.141357421875,0
5684,MREQ-9137-001025,9137,2018-11-14,Section 4,Material,Not on List,Not on List,1,Each,796.45,796.45,Damage Charges,2018-11-14,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,153a - Temporary Works - Site Infrastructure,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,0.0,0.0,3470.1448974609375,0
5689,MREQ-8800-001024,8800,2018-11-07,Section 4,Material,Not on List,Not on List,1,Each,114.41,114.41,Damage Charges,2018-11-08,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,1.0,0.0,3470.1448974609375,0
5691,MREQ-9112-001025,9112,2018-11-14,Section 3,Material,Concrete Drainage,CPM 1200mm Concrete Pipe 2.5m (249379),9,Each,483.27,4349.43,Concrete Drainage,2018-11-19,Gate C - 1339698 - BN07 (Offord Rd) via Logistics Yard Access,CL3A - Structures (Culverts) 3A,1702 - Precast Concrete,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,5.0,461.71580696105957,523.1361217498779,0
5692,MREQ-9112-001025,9112,2018-11-14,Section 3,Material,Concrete Drainage,CPM 1200mm Concrete Socket (249381),2,Each,579.92,1159.84,Concrete Drainage,2018-11-19,Gate C - 1339698 - BN07 (Offord Rd) via Logistics Yard Access,CL3A - Structures (Culverts) 3A,1702 - Precast Concrete,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,5.0,579.9199829101562,579.9199829101562,0
5693,MREQ-9112-001025,9112,2018-11-14,Section 3,Material,Concrete Drainage,CPM 1200mm Concrete Spigot (249382),2,Each,579.92,1159.84,Concrete Drainage,2018-11-19,Gate C - 1339698 - BN07 (Offord Rd) via Logistics Yard Access,CL3A - Structures (Culverts) 3A,1702 - Precast Concrete,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,5.0,555.4373378753662,622.7125644683838,0
5694,MREQ-9150-001025,9150,2018-11-14,Section 3,Material,,Concrete Kerbs 125x150x914 HB Straight (898181),128,Each,2.93,375.04,Builders Merchants (General),2018-11-16,Gate C - 1339697 - Access to BN06-07-08-09 Via Logistics Yard,SC3B - Roadworks,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,2.0,2.2650001645088196,4.26000040769577,0
5705,MREQ-8769-001024,8769,2018-11-06,Section 4,Material,Not on List,Not on List,1,Each,2159.0,2159.0,Not Sure,2018-11-06,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,104 - Site Transport,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,0.0,0.0,2957.732177734375,0
5709,MREQ-8765-001024,8765,2018-11-06,Section 4,Material,Not on List,Not on List,1,Each,3687.55,3687.55,Not Sure,2018-11-06,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,104 - Site Transport,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,0.0,0.0,2957.732177734375,1
5714,MREQ-8759-001024,8759,2018-11-06,Section 4,Material,Not on List,Not on List,1,Each,1882.92,1882.92,Damage Charges,2018-11-08,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,2.0,0.0,3470.1448974609375,0
5716,MREQ-9205-001025,9205,2018-11-15,Section 3,Material,Not on List,Not on List,1,Each,281.1,281.0,Small Tools (Consumables),2018-11-16,Main Compound Gate D - 1339642 - Main Compound Entrance A1198,SC3A - Roadworks,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,1.0,0.0,1264.3756103515625,0
5717,MREQ-8734-001024,8734,2018-11-06,Section 4,Material,Not on List,Not on List,1,Each,3615.0,3615.0,Damage Charges,2018-11-07,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,1.0,0.0,3470.1448974609375,1
5718,MREQ-8726-001024,8726,2018-11-06,Section 4,Material,Not on List,Not on List,1,Each,864.64,864.64,Damage Charges,2018-11-07,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,1.0,0.0,3470.1448974609375,0
5723,MREQ-8663-001023,8663,2018-11-05,Section 4,Material,Not on List,Not on List,1,Each,1324.0,1324.0,Damage Charges,2018-11-07,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,2.0,0.0,3470.1448974609375,0
5725,MREQ-9188-001025,9188,2018-11-15,Section 4,Material,Not on List,Not on List,1,Each ,86.25,86.25,Concrete Drainage,2018-11-19,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,502 - Chambers & Gullies,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,4.0,0.0,1664.6707458496094,0
5726,MREQ-9188-001025,9188,2018-11-15,Section 4,Material,,Not on List,1,Each ,55.0,55.0,Concrete Drainage,2018-11-19,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,502 - Chambers & Gullies,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,4.0,0.0,1664.6707458496094,0
5727,MREQ-9200-001025,9200,2018-11-15,Section 3,Material,Not on List,Not on List,4,Each,26.94,107.76,Builders Merchants (General),2018-11-18,Gate D - 1339643 - BN10 Via Main Compound Entrance,SC3A - Roadworks,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,3.0,0.0,978.6569290161133,0
5730,MREQ-9213-001025,9213,2018-11-15,Section 3,Material,Not on List,Not on List,480,Each,1.04,499.2,Miscellaneous,2018-11-19,Gate C - 1339697 - Access to BN06-07-08-09 Via Logistics Yard,GN3B - Gantry structures,1704 - Reinforcement for Structures,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,4.0,0.0,19779.141357421875,0
5732,MREQ-9205-001025,9205,2018-11-15,Section 3,Material,Not on List,Not on List,1,Each,281.1,281.1,Small Tools (Consumables),2018-11-16,Main Compound Gate D - 1339642 - Main Compound Entrance A1198,SC3A - Roadworks,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,1.0,0.0,1264.3756103515625,0
5736,MREQ-9195-001025,9195,2018-11-15,Section 3,Material,Not on List,Not on List,20,Each,130.0,2600.0,Miscellaneous,2018-11-21,Main Compound Gate D - 1339642 - Main Compound Entrance A1198,PLM3 - Site Preliminaries,153f - Tempoary Works - Miscellaneous temporary works,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,6.0,0.0,19779.141357421875,0
5737,MREQ-9273-001025,9273,2018-11-16,Section 4,Material,Not on List,Not on List,1965,Each,1.0,1965.0,Waste (General),2018-11-19,RVP 409 - 1339625 - Bar Hill A14 Jcn 29 Westbound (B1050),PLM4 - Site Preliminaries,153b - Temporary Works - Waste Removal,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,3.0,0.0,1475.6920776367188,0
5738,MREQ-9273-001025,9273,2018-11-16,Section 4,Material,Not on List,Not on List,3930,Each,1.0,3930.0,Waste (General),2018-11-19,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,153b - Temporary Works - Waste Removal,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,3.0,0.0,1475.6920776367188,0
5740,MREQ-9349-001025,9349,2018-11-20,Section 3,Material,Not on List,Not on List,4,Each,105.04,420.16,Builders Merchants (General),2018-11-22,"Gate D - 1350303 - Batching Plant, Ermine St. A1198 Rd, PE29 2NH",SC3A - Roadworks,"1401 - Trenches, Ducts and Chambers",Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,2.0,0.0,978.6569290161133,0
5741,MREQ-7857-001023,7857,2018-10-16,Section 4,Material,Not on List,Not on List,200,Each,16.95,3390.0,"Concrete Hard Landscaping (Kerbs, Slabs)",2018-10-22,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,6.0,0.0,125807.83251953125,0
5742,MREQ-7857-001023,7857,2018-10-16,Section 4,Material,Not on List,Not on List,1,Each,33.28,33.28,"Concrete Hard Landscaping (Kerbs, Slabs)",2018-10-22,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,6.0,0.0,125807.83251953125,0
5743,MREQ-7857-001023,7857,2018-10-16,Section 4,Material,Not on List,Not on List,4,Each,33.28,133.12,"Concrete Hard Landscaping (Kerbs, Slabs)",2018-10-22,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,6.0,0.0,125807.83251953125,0
5744,MREQ-7857-001023,7857,2018-10-16,Section 4,Material,Not on List,Not on List,4,Each,33.28,133.12,"Concrete Hard Landscaping (Kerbs, Slabs)",2018-10-22,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,6.0,0.0,125807.83251953125,0
5745,MREQ-7857-001023,7857,2018-10-16,Section 4,Material,Not on List,Not on List,25,Each,33.28,832.0,"Concrete Hard Landscaping (Kerbs, Slabs)",2018-10-22,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,6.0,0.0,125807.83251953125,0
5746,MREQ-7857-001023,7857,2018-10-16,Section 4,Material,Not on List,Not on List,5,Each,192.08,960.4,"Concrete Hard Landscaping (Kerbs, Slabs)",2018-12-03,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,48.0,0.0,125807.83251953125,0
5748,MREQ-9186-001025,9186,2018-11-15,Section 4,Material,,Not on List,10,Each ,7.06,70.6,"Concrete Hard Landscaping (Kerbs, Slabs)",2018-11-27,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,12.0,0.0,55.73402118682861,0
5749,MREQ-9186-001025,9186,2018-11-15,Section 4,Material,,Not on List,4,Each ,6.73,26.92,"Concrete Hard Landscaping (Kerbs, Slabs)",2018-11-27,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,12.0,0.0,55.73402118682861,0
5751,MREQ-9186-001025,9186,2018-11-15,Section 4,Material,,Not on List,4,Each ,6.73,26.92,"Concrete Hard Landscaping (Kerbs, Slabs)",2018-11-27,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,12.0,0.0,55.73402118682861,0
5752,MREQ-9362-001025,9362,2018-11-20,Section 3,Material,Not on List,Not on List,500,Each,0.09,45.0,Miscellaneous,2018-11-21,Gate C - 1339697 - Access to BN06-07-08-09 Via Logistics Yard,GN3B - Gantry structures,1704 - Reinforcement for Structures,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,1.0,0.0,19779.141357421875,0
5755,MREQ-9218-001025,9218,2018-11-15,Section 4,Material,,Not on List,30,Each,19.02,570.6,"Concrete Hard Landscaping (Kerbs, Slabs)",2018-11-26,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,11.0,0.0,125807.83251953125,0
5756,MREQ-9218-001025,9218,2018-11-15,Section 4,Material,,Not on List,1,Each ,115.0,115.0,"Concrete Hard Landscaping (Kerbs, Slabs)",2018-11-26,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,11.0,0.0,55.73402118682861,1
5766,MREQ-9327-001025,9327,2018-11-19,Section 4,Material,Not on List,Not on List,120,Each,3.46,415.2,Builders Merchants (General),2018-11-23,"RVP 418 - 1347987 - East of Jcn 29, A14 Eastbound",CL4B - Structures (Culverts) 4B,2302 - Sealing of gaps,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,4.0,0.0,978.6569290161133,0
5767,MREQ-9327-001025,9327,2018-11-19,Section 4,Material,Not on List,Not on List,4,Each,42.45,169.8,Builders Merchants (General),2018-11-23,"RVP 418 - 1347987 - East of Jcn 29, A14 Eastbound",CL4B - Structures (Culverts) 4B,2302 - Sealing of gaps,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,4.0,0.0,978.6569290161133,0
5768,MREQ-9327-001025,9327,2018-11-19,Section 4,Material,Not on List,Not on List,10,Each,8.2,82.0,Builders Merchants (General),2018-11-23,"RVP 418 - 1347987 - East of Jcn 29, A14 Eastbound",CL4B - Structures (Culverts) 4B,2302 - Sealing of gaps,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,4.0,0.0,978.6569290161133,0
5769,MREQ-9327-001025,9327,2018-11-19,Section 4,Material,Not on List,Not on List,4,Each,52.0,208.0,Builders Merchants (General),2018-11-23,"RVP 418 - 1347987 - East of Jcn 29, A14 Eastbound",CL4B - Structures (Culverts) 4B,2302 - Sealing of gaps,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,4.0,0.0,978.6569290161133,0
5770,MREQ-9327-001025,9327,2018-11-19,Section 4,Material,Not on List,Not on List,3,Each,88.88,266.64,Builders Merchants (General),2018-11-23,"RVP 418 - 1347987 - East of Jcn 29, A14 Eastbound",CL4B - Structures (Culverts) 4B,2010 - Waterproofing for concrete structures,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,4.0,0.0,978.6569290161133,0
5775,MREQ-9372-001025,9372,2018-11-20,Section 4,Material,"PPE, Small Tools and Consumables",Not on List,100,Each,0.73,73.0,Miscellaneous,2018-11-23,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,3.0,0.0,19779.141357421875,0
5776,MREQ-9376-001025,9376,2018-11-20,Section 4,Material,"PPE, Small Tools and Consumables",Not on List,1,Each,398.6,398.6,Janitorial,2018-11-22,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,102 - Compound running costs,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,2.0,0.0,593.6622924804688,0
5778,MREQ-9377-001025,9377,2018-11-20,Section 4,Material,"PPE, Small Tools and Consumables",Not on List,1,Each,523.14,523.14,Small Tools (Consumables),2018-11-22,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,102 - Compound running costs,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,2.0,0.0,1264.3756103515625,0
5780,MREQ-9423-001025,9423,2018-11-21,Section 3,Material,Not on List,Not on List,1,Each,447.5,448.0,Damage Charges,2018-11-29,Main Compound Gate D - 1339642 - Main Compound Entrance A1198,PLM3 - Site Preliminaries,152 - Attendant / General Plant,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,8.0,0.0,3470.1448974609375,0
5781,MREQ-9380-001025,9380,2018-11-20,Section 4,Material,"PPE, Small Tools and Consumables",Not on List,20,Each,30.24,604.8,Small Tools (Consumables),2018-11-21,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,1.0,0.0,1264.3756103515625,0
5783,MREQ-9371-001025,9371,2018-11-20,Section 4,Material,Not on List,Not on List,6,Each,79.99,479.94,Miscellaneous,2018-11-26,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,2703 - Works on behalf of Statutory Undertakers,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,6.0,0.0,19779.141357421875,0
5784,MREQ-9271-001025,9271,2018-11-16,Section 4,Material,Not on List,Not on List,24.967,Tonne,538.0,13432.25,Rebar and Mesh,2018-11-28,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,BN18 - Swavesey NMU Bridge,1704 - Reinforcement for Structures,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,12.0,538.0,538.0,0
5785,MREQ-9271-001025,9271,2018-11-16,Section 4,Material,Not on List,Not on List,8,Each,5.16,41.28,Rebar and Mesh,2018-11-28,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,BN18 - Swavesey NMU Bridge,1704 - Reinforcement for Structures,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,12.0,0.0,470.99452209472656,0
5786,MREQ-9271-001025,9271,2018-11-16,Section 4,Material,,Not on List,16,Each,3.25,52.0,Rebar and Mesh,2018-11-28,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,BN18 - Swavesey NMU Bridge,1704 - Reinforcement for Structures,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,12.0,0.0,470.99452209472656,0
5787,MREQ-9271-001025,9271,2018-11-16,Section 4,Material,,Not on List,16,Each,2.78,44.48,Rebar and Mesh,2018-11-28,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,BN18 - Swavesey NMU Bridge,1704 - Reinforcement for Structures,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,12.0,0.0,470.99452209472656,0
5789,MREQ-5289-00224,5289,2018-08-17,Section 4,Material,Misc,Not on List,1,Each,429.0,0.0,Small Tools (Consumables),2018-08-20,RVP 411 - 1339640 - Dry Drayton Oakington Rd A14 J30 Westbound,SC4C - Roadworks - Dry Drayton to Girton,502 - Chambers & Gullies,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,3.0,0.0,1264.3756103515625,0
5791,MREQ-9460-001025,9460,2018-11-22,Section 3,Material,Concrete Drainage,Not on List,20,Each,209.35,4187.0,Concrete Drainage,2018-11-27,"Gate K - 1339704 - Access to BN14, BN15 & BN16 Connington off Connington Rd Eastbound",SC3B - Roadworks,502 - Chambers & Gullies,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,5.0,0.0,1479.5375366210938,0
5792,MREQ-9460-001025,9460,2018-11-22,Section 3,Material,Concrete Drainage,CPM 1050 Cover Slab 600x600 Opening  (989583),20,Each,47.04,941.0,Concrete Drainage,2018-11-27,"Gate K - 1339704 - Access to BN14, BN15 & BN16 Connington off Connington Rd Eastbound",SC3B - Roadworks,502 - Chambers & Gullies,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,5.0,39.82864832878113,58.38897252082825,0
5793,MREQ-9460-001025,9460,2018-11-22,Section 3,Material,Concrete Drainage,CPM Chamber Ring 1050 x 1000 D/S (991897),10,Each,67.9,679.0,Concrete Drainage,2018-11-27,"Gate K - 1339704 - Access to BN14, BN15 & BN16 Connington off Connington Rd Eastbound",SC3B - Roadworks,502 - Chambers & Gullies,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,5.0,67.21806448698044,68.78268319368362,0
5799,MREQ-11366-001025,11366,2019-01-23,Section 3,Material,,Terram 1000 4.5m x 100m 16 rolls and above (820795),22,Each,110.27,2425.94,Geotextiles,2019-01-25,"Gate K - 1339704 - Access to BN14, BN15 & BN16 Connington off Connington Rd Eastbound",PLM3 - Site Preliminaries,153e - Temporary Works - Temporary piling & Cofferdams,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,2.0,110.2699966430664,110.2699966430664,0
5800,MREQ-19437-001025,19437,2019-06-20,Section 3,Material,Concrete Drainage,Not on List,60,Each,17.14,1028.4,Concrete Drainage,2019-06-20,Gate C - 1339697 - Access to BN06-07-08-09 Via Logistics Yard,SC3B - Roadworks,502 - Chambers & Gullies,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,0.0,0.0,1479.5375366210938,0
5803,MREQ-19437-001025,19437,2019-06-20,Section 3,Material,Twinwall,Not on List,25,Each,37.18,929.5,Plastic Drainage,2019-06-20,Gate C - 1339697 - Access to BN06-07-08-09 Via Logistics Yard,SC3B - Roadworks,502 - Chambers & Gullies,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,0.0,0.0,389.84692001342773,0
5804,MREQ-19437-001025,19437,2019-06-20,Section 3,Material,Not on List,Not on List,12,Roll,6.4,76.8,Fixings and Fasteners,2019-06-20,Gate C - 1339697 - Access to BN06-07-08-09 Via Logistics Yard,SC3B - Roadworks,"1502 - Trenches, Ducts and Chambers",Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,0.0,0.0,99.68258285522461,0
5806,MREQ-19437-001025,19437,2019-06-20,Section 3,Material,Ducting,Not on List,105,Each,0.36,37.8,Electrical,2019-06-20,Gate C - 1339697 - Access to BN06-07-08-09 Via Logistics Yard,SC3B - Roadworks,"1502 - Trenches, Ducts and Chambers",Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,0.0,0.0,4565.5556640625,0
5807,MREQ-19437-001025,19437,2019-06-20,Section 3,Material,Not on List,Not on List,30,Each,3.36,100.8,Miscellaneous,2019-06-20,Gate C - 1339697 - Access to BN06-07-08-09 Via Logistics Yard,SC3B - Roadworks,1104 - Footways and Paved Areas,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,0.0,0.0,19779.141357421875,0
5808,MREQ-19492-001025,19492,2019-06-21,Section 3,Material,Saint Gobain Castings,600x600x100 D400 Inter Ax Manhole Cover (766602),40,Each,81.73,3269.2,Ductile Drainage,2019-06-26,Gate C - 1339697 - Access to BN06-07-08-09 Via Logistics Yard,SC3A - Roadworks,502 - Chambers & Gullies,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,5.0,48.483662605285645,128.49412059783936,0
5809,MREQ-19492-001025,19492,2019-06-21,Section 3,Material,Concrete Drainage,CPM Seating Ring 600x600 Opening (528483),40,Each,18.43,737.2,Concrete Drainage,2019-06-26,Gate C - 1339697 - Access to BN06-07-08-09 Via Logistics Yard,SC3A - Roadworks,502 - Chambers & Gullies,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,5.0,7.976014137268066,31.7821683883667,0
5814,MREQ-19451-001025,19451,2019-06-20,Section 4,Material,Not on List,Not on List,2,Each,968.26,1936.52,Small Tools (Consumables),2019-06-25,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,151 - Prelims attendant Labour and Equipment,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,5.0,0.0,1264.3756103515625,0
5815,MREQ-19664-001025,19664,2019-06-25,Section 4,Material,Not on List,Not on List,144,Each,6.29,905.76,Miscellaneous,2019-06-28,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,102 - Compound running costs,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,3.0,0.0,19779.141357421875,0
5816,MREQ-19665-001025,19665,2019-06-25,Section 4,Material,Not on List,Not on List,32,Each,28.8,921.6,PPE,2019-06-28,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,102 - Compound running costs,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,3.0,0.0,2104.5404663085938,0
5817,MREQ-19667-001025,19667,2019-06-25,Section 4,Material,Not on List,Not on List,829.44,Each,1.0,829.44,Miscellaneous,2019-06-28,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,102 - Compound running costs,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,3.0,0.0,19779.141357421875,0
5818,MREQ-15789-001025,15789,2019-04-12,Section 4,Material,Waste Management,Construction Waste - Roll On Roll Off 20 cubic yard,1,Each,370.0,370.0,Waste (General),2019-04-15,RVP 420 - A14 Eastbound - Opposite Crematorium,SC4C - Roadworks - Dry Drayton to Girton,201 - Site Clearance,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,3.0,110.50196075439453,483.7837448120117,0
