,MREQ_Number,FFID,Date_and_Time_of_Request,Section,Order_Type,Item_Category,Item_Description,Quantity_Required,Unit,Unit_Price,Total_Cost,Category,Date_Required,Delivery_Location,Location_WBS,Activity_WBS,Current_Stage,Operational_Approval,Commercial_Approval,Buyer
5268,MREQ-15724-001025,15724,2019-04-11 17:20:43,Section 5,Material,Not on List,Not on List,60,,,0,Small Tools (Consumables),2019-04-15 00:00:00,"Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",SEC5 - Roadworks,2701 - Accommodation works,Stores - Closed,Yes - Approve,,Req - S5 Buyers
5269,MREQ-6024-00598,6024,2018-09-04 14:09:35,Section 4,Material,Not on List,Not on List,4,number,18.91,75.64,Not Sure,2018-09-10 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
5270,MREQ-15731-001025,15731,2019-04-12 07:08:48,Section 4,Material,,,1,,31197.22,31197.22,,,,,,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
5271,MREQ-15754-001025,15754,2019-04-12 11:31:18,Section 4,Material,Not on List,Not on List,216,ea,45,9720,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-04-18 00:00:00,"RVP 418 - 1347987 - East of Jcn 29, A14 Eastbound",SC4B - Roadworks - Robins Lane to Dry Drayton,1102 - Combined Drainage and Kerb Units,Requestor - Buyers Pass Back,Yes - Approve,,REQ - Section 4 Buyers
5272,MREQ-15754-001025,15754,2019-04-12 11:31:18,Section 4,Material,Not on List,Not on List,1,ea,55,55,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-04-18 00:00:00,"RVP 418 - 1347987 - East of Jcn 29, A14 Eastbound",SC4B - Roadworks - Robins Lane to Dry Drayton,1102 - Combined Drainage and Kerb Units,Requestor - Buyers Pass Back,Yes - Approve,,REQ - Section 4 Buyers
5273,MREQ-15754-001025,15754,2019-04-12 11:31:18,Section 4,Material,Not on List,Not on List,1,ea,55,55,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-04-18 00:00:00,"RVP 418 - 1347987 - East of Jcn 29, A14 Eastbound",SC4B - Roadworks - Robins Lane to Dry Drayton,1102 - Combined Drainage and Kerb Units,Requestor - Buyers Pass Back,Yes - Approve,,REQ - Section 4 Buyers
5274,MREQ-6024-00598,6024,2018-09-04 14:09:35,Section 4,Material,Not on List,Not on List,2,number,28.55,57.1,Not Sure,2018-09-10 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
5275,MREQ-15754-001025,15754,2019-04-12 11:31:18,Section 4,Material,Not on List,Not on List,4,ea,55,220,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-04-18 00:00:00,"RVP 418 - 1347987 - East of Jcn 29, A14 Eastbound",SC4B - Roadworks - Robins Lane to Dry Drayton,1102 - Combined Drainage and Kerb Units,Requestor - Buyers Pass Back,Yes - Approve,,REQ - Section 4 Buyers
5276,MREQ-15754-001025,15754,2019-04-12 11:31:18,Section 4,Material,Not on List,Not on List,4,ea,55,220,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-04-18 00:00:00,"RVP 418 - 1347987 - East of Jcn 29, A14 Eastbound",SC4B - Roadworks - Robins Lane to Dry Drayton,1102 - Combined Drainage and Kerb Units,Requestor - Buyers Pass Back,Yes - Approve,,REQ - Section 4 Buyers
5277,MREQ-15754-001025,15754,2019-04-12 11:31:18,Section 4,Material,Not on List,Not on List,1,ea,45,45,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-04-18 00:00:00,"RVP 418 - 1347987 - East of Jcn 29, A14 Eastbound",SC4B - Roadworks - Robins Lane to Dry Drayton,1102 - Combined Drainage and Kerb Units,Requestor - Buyers Pass Back,Yes - Approve,,REQ - Section 4 Buyers
5278,MREQ-15754-001025,15754,2019-04-12 11:31:18,Section 4,Material,Not on List,Not on List,1,ea,45,45,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-04-18 00:00:00,"RVP 418 - 1347987 - East of Jcn 29, A14 Eastbound",SC4B - Roadworks - Robins Lane to Dry Drayton,1102 - Combined Drainage and Kerb Units,Requestor - Buyers Pass Back,Yes - Approve,,REQ - Section 4 Buyers
5279,MREQ-15754-001025,15754,2019-04-12 11:31:18,Section 4,Material,Not on List,Not on List,40,ea,13,520,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-04-18 00:00:00,"RVP 418 - 1347987 - East of Jcn 29, A14 Eastbound",SC4B - Roadworks - Robins Lane to Dry Drayton,1102 - Combined Drainage and Kerb Units,Requestor - Buyers Pass Back,Yes - Approve,,REQ - Section 4 Buyers
5280,MREQ-15754-001025,15754,2019-04-12 11:31:18,Section 4,Material,Not on List,Not on List,24,ea,8,192,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-04-18 00:00:00,"RVP 418 - 1347987 - East of Jcn 29, A14 Eastbound",SC4B - Roadworks - Robins Lane to Dry Drayton,1102 - Combined Drainage and Kerb Units,Requestor - Buyers Pass Back,Yes - Approve,,REQ - Section 4 Buyers
5281,MREQ-15754-001025,15754,2019-04-12 11:31:18,Section 4,Material,Not on List,Not on List,1,ea,35,35,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-04-18 00:00:00,"RVP 418 - 1347987 - East of Jcn 29, A14 Eastbound",SC4B - Roadworks - Robins Lane to Dry Drayton,1102 - Combined Drainage and Kerb Units,Requestor - Buyers Pass Back,Yes - Approve,,REQ - Section 4 Buyers
5282,MREQ-15755-001025,15755,2019-04-12 11:36:22,Section 2,Material,Not on List,Not on List,10,number,,0,Miscellaneous,2019-04-15 00:00:00,Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,BN03 - A1 Brampton Interchange Bridge,1802 - Miscellaneous Metalwork,Stores - Closed,Yes - Approve,,Req - S2 Buyers
5283,MREQ-15755-001025,15755,2019-04-12 11:36:22,Section 2,Material,Not on List,Not on List,70,number,,0,Miscellaneous,2019-04-15 00:00:00,Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,BN03 - A1 Brampton Interchange Bridge,1802 - Miscellaneous Metalwork,Stores - Closed,Yes - Approve,,Req - S2 Buyers
5284,MREQ-6024-00598,6024,2018-09-04 14:09:35,Section 4,Material,Not on List,Not on List,1,number,50,50,Not Sure,2018-09-10 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
5285,MREQ-15755-001025,15755,2019-04-12 11:36:22,Section 2,Material,Not on List,Not on List,200,number,,0,Miscellaneous,2019-04-15 00:00:00,Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,BN03 - A1 Brampton Interchange Bridge,1802 - Miscellaneous Metalwork,Stores - Closed,Yes - Approve,,Req - S2 Buyers
5286,MREQ-6024-00598,6024,2018-09-04 14:09:35,Section 4,Material,Not on List,Not on List,40,number,20.82,832.8,Not Sure,2018-09-10 00:00:00,RVP 409 - 1339625 - Bar Hill A14 Jcn 29 Westbound (B1050),PLM4 - Site Preliminaries,102 - Compound running costs,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
5287,MREQ-15608-001025,15608,2019-04-10 09:15:04,Section 4,Material,Not on List,Not on List,40,,,0,Builders Merchants (General),2019-04-15 00:00:00,"RVP 418 - 1347987 - East of Jcn 29, A14 Eastbound",CL4C - Structures (Culverts) 4C,1701 - Insitu Concrete,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
5288,MREQ-6024-00598,6024,2018-09-04 14:09:35,Section 4,Material,Not on List,Not on List,45,number,5.25,236.25,Not Sure,2018-09-10 00:00:00,RVP 409 - 1339625 - Bar Hill A14 Jcn 29 Westbound (B1050),PLM4 - Site Preliminaries,102 - Compound running costs,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
5289,MREQ-15744-001025,15744,2019-04-12 09:04:28,Section 3,Material,Not on List,Not on List,2,,78.4,156.8,Miscellaneous,2019-04-16 00:00:00,Main Compound Gate D - 1339642 - Main Compound Entrance A1198,PLM3 - Site Preliminaries,151 - Prelims attendant Labour and Equipment,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers
5290,MREQ-15753-001025,15753,2019-04-12 11:39:03,Section 3,Material,Not on List,Not on List,1,,290.3,290.3,Small Tools (Consumables),2019-04-16 00:00:00,Main Compound Gate D - 1339642 - Main Compound Entrance A1198,PLM3 - Site Preliminaries,151 - Prelims attendant Labour and Equipment,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers
5291,MREQ-15592-001025,15592,2019-04-10 09:35:52,Section 4,Material,Not on List,Not on List,2,Number,22.24,44.48,Miscellaneous,2019-04-12 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,SC4C - Roadworks - Dry Drayton to Girton,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
5292,MREQ-15592-001025,15592,2019-04-10 09:35:52,Section 4,Material,Not on List,Not on List,2,Number,59.05,118.1,Miscellaneous,2019-04-12 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,SC4C - Roadworks - Dry Drayton to Girton,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
5293,MREQ-15592-001025,15592,2019-04-10 09:35:52,Section 4,Material,Not on List,Not on List,2,Number,64.9,129.8,Miscellaneous,2019-04-12 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,SC4C - Roadworks - Dry Drayton to Girton,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
5294,MREQ-15836-001025,15836,2019-04-15 10:08:05,Section 3,Material,Not on List,Not on List,2,No sets,,0,Builders Merchants (General),2019-04-17 00:00:00,Gate D - 1339643 - BN10 Via Main Compound Entrance,SC3B - Roadworks,2701 - Accommodation works,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers
5295,MREQ-15831-001025,15831,2019-04-15 09:27:50,Section 3,Material,,Terram 1000 4.5m x 100m 1-15 rolls (820795),6,Each,122.72,736.32,Geotextiles,2019-04-17 00:00:00,Gate C - 1339702 - BN06 (Silver St) Via logistics Yard Access,SC3B - Roadworks,606 - Import,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers
5296,MREQ-15097-001025,15097,2019-04-02 09:01:20,Core,Material,Not on List,Not on List,1,EACH,726,726,Miscellaneous,2019-04-02 00:00:00,Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton (Core),WAOC - Working Areas overhead Costs,116 - Copying Charges,Finance Approval,Yes - Approve,Yes - Approve,REQ - Buyers
5297,MREQ-6024-00598,6024,2018-09-04 14:09:35,Section 4,Material,Not on List,Not on List,80,number,0.55,44,Not Sure,2018-09-10 00:00:00,RVP 409 - 1339625 - Bar Hill A14 Jcn 29 Westbound (B1050),PLM4 - Site Preliminaries,102 - Compound running costs,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
5298,MREQ-15683-001025,15683,2019-04-11 12:40:46,Core,Material,Not on List,Not on List,1,number,15856.68,15856.68,Professional Services,2019-04-11 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),,,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Buyers
5299,MREQ-15683-001025,15683,2019-04-11 12:40:46,Core,Material,Not on List,Not on List,1,number,4910.8,4910.8,Professional Services,2019-04-11 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),,107 - Fee based costs including insurance,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Buyers
5300,MREQ-15683-001025,15683,2019-04-11 12:40:46,Core,Material,Not on List,Not on List,1,number,9260.56,9260.56,Professional Services,2019-04-11 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),,107 - Fee based costs including insurance,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Buyers
5301,MREQ-6008-00594,6008,2018-09-04 08:13:45,Section 3,Material,Not on List,Not on List,6,Rolls,258.05,1548.3,Not Sure,2018-09-10 00:00:00,Main Compound Gate D - 1339642 - Main Compound Entrance A1198,SC3A - Roadworks,504 - Drainage and Service Ducts in Structures,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers
5302,MREQ-15847-001025,15847,2019-04-15 11:52:54,Section 5,Material,Not on List,Not on List,2,,99.6,199,Surveying Consumables,2019-04-15 00:00:00,"Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",PLM5 - Site Preliminaries,151 - Prelims attendant Labour and Equipment,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
5303,MREQ-15850-001025,15850,2019-04-15 12:03:23,Core,Material,Not on List,Not on List,4,,1249.99,5000,Miscellaneous,2019-04-17 00:00:00,Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton (Core),WAOC - Working Areas overhead Costs,117 - Computer & Acc Charges,Operations Rejected,No - Reject,,REQ - Buyers
5304,MREQ-27233-001025,27233,2019-12-03 07:45:19,Section 5,Material,Not on List,Not on List,1,,,0,Miscellaneous,2019-12-05 00:00:00,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",PLM5 - Site Preliminaries,152 - Attendant / General Plant,Commercial Approval,Yes - Approve,,Req - S5 Buyers
5305,MREQ-26359-001025,26359,2019-11-08 13:39:20,Core,Material,,,,,,0,,,,,,IMO Queue,Yes - Approve,Yes - Approve,REQ - Buyers
5306,MREQ-27244-001025,27244,2019-12-03 09:20:14,Section 5,Material,"PPE, Small Tools and Consumables",Not on List,5,ea,26.5,133,Miscellaneous,2019-12-06 00:00:00,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",PLM5 - Site Preliminaries,102 - Compound running costs,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
5307,MREQ-27252-001025,27252,2019-12-03 10:47:49,Section 3,Material,Not on List,Not on List,2,,,0,Fixings and Fasteners,2019-12-04 00:00:00,Section 2 Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,SC3A - Roadworks,1201 - Traffic Signs,Commercial Approval,Yes - Approve,,REQ - Section 3 Buyers
5308,MREQ-27252-001025,27252,2019-12-03 10:47:49,Section 3,Material,Not on List,Not on List,2,,,0,Fixings and Fasteners,2019-12-04 00:00:00,Section 2 Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,SC3A - Roadworks,1201 - Traffic Signs,Commercial Approval,Yes - Approve,,REQ - Section 3 Buyers
5309,MREQ-27254-001025,27254,2019-12-03 11:00:10,Core,Material,Not on List,Not on List,35,nUMBER,275,9625,Surveying Consumables,2020-01-01 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),PRLM - Preliminaries,106 - Testing equipment and materials testing,Stores - Closed,,Yes - Approve,REQ - Buyers
5310,MREQ-27256-001025,27256,2019-12-03 11:16:38,Core,Material,"PPE, Small Tools and Consumables",Not on List,1,,,0,Laboratory Equipment / Certification,2019-12-03 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,120 - Small Tools (hand),Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers
5311,MREQ-27204-001025,27204,2019-12-02 13:55:48,Section 4,Material,Not on List,Not on List,15,Each,41.85,627.75,Plastic Drainage,2019-12-06 00:00:00,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4C - Roadworks - Dry Drayton to Girton,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
5312,MREQ-27262-001025,27262,2019-12-03 11:34:16,Core,Material,"PPE, Small Tools and Consumables",Not on List,1,,,0,Laboratory Equipment / Certification,2019-12-03 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,120 - Small Tools (hand),Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers
5313,MREQ-27263-001025,27263,2019-12-03 11:36:42,Core,Material,"PPE, Small Tools and Consumables",Not on List,1,,,0,Laboratory Equipment / Certification,2019-12-03 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,120 - Small Tools (hand),Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers
5314,MREQ-27266-001025,27266,2019-12-03 12:04:28,Section 5,Material,Not on List,Not on List,1,,,0,Miscellaneous,2019-12-05 00:00:00,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",PLM5 - Site Preliminaries,102 - Compound running costs,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
5315,MREQ-27270-001025,27270,2019-12-03 13:40:55,Section 3,Material,Not on List,Not on List,1,,,0,Miscellaneous,2019-12-05 00:00:00,Section 2 Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,PLM3 - Site Preliminaries,152 - Attendant / General Plant,Operational Approval,,,REQ - Section 3 Buyers
5316,MREQ-27273-001025,27273,2019-12-03 14:17:38,Section 5,Material,Not on List,Not on List,1,,,0,Miscellaneous,2019-12-05 00:00:00,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",PLM5 - Site Preliminaries,152 - Attendant / General Plant,Operational Approval,,,Req - S5 Buyers
5317,MREQ-27274-001025,27274,2019-12-03 14:28:53,Section 6,Material,Not on List,Not on List,1,,,0,Miscellaneous,2019-12-05 00:00:00,Section 2 Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,PLM6 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,Req - S6 Buyers
5318,MREQ-27247-001025,27247,2019-12-03 09:41:39,Section 4,Material,,,1,Each,1859.61,1859.61,,,,,,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
5319,MREQ-27248-001025,27248,2019-12-03 09:49:21,Section 4,Material,,,40,Pack 100,10.5,420,,,,,,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
5320,MREQ-27248-001025,27248,2019-12-03 09:49:21,Section 4,Material,,,120,Each,17.9,2148,,,,,,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
5321,MREQ-27248-001025,27248,2019-12-03 09:49:21,Section 4,Material,,,500,Each,7.5,3750,,,,,,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
5322,MREQ-27229-001025,27229,2019-12-03 06:52:19,Section 6,Material,Timber,Not on List,10,Lengths,10.68,106.8,Timber Products,2019-12-03 00:00:00,Section 2 Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,PLM6 - Site Preliminaries,153b - Temporary Works Viaduct- Miscelaneous,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S6 Buyers
5323,MREQ-27229-001025,27229,2019-12-03 06:52:19,Section 6,Material,Timber,Not on List,10,Lengths,7.23,72.3,Timber Products,2019-12-03 00:00:00,Section 2 Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,PLM6 - Site Preliminaries,153b - Temporary Works Viaduct- Miscelaneous,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S6 Buyers
5324,MREQ-27181-001025,27181,2019-12-01 21:02:58,Section 5,Material,,,74,Each,36.9,2730.6,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-12-10 00:00:00,"1358009 - EB5/4, A14 Eastbound, Works Access EB5/4, Access Gate",SEC5 - Roadworks,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
5325,MREQ-27181-001025,27181,2019-12-01 21:02:58,Section 5,Material,,,4,Each,124.86,499.44,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-12-10 00:00:00,"1358009 - EB5/4, A14 Eastbound, Works Access EB5/4, Access Gate",SEC5 - Roadworks,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
5326,MREQ-27181-001025,27181,2019-12-01 21:02:58,Section 5,Material,,,6,Each,42.5,255,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-12-10 00:00:00,"1358009 - EB5/4, A14 Eastbound, Works Access EB5/4, Access Gate",SEC5 - Roadworks,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
5327,MREQ-27181-001025,27181,2019-12-01 21:02:58,Section 5,Material,,,2,Each,17.5,35,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-12-10 00:00:00,"1358009 - EB5/4, A14 Eastbound, Works Access EB5/4, Access Gate",SEC5 - Roadworks,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
5328,MREQ-27181-001025,27181,2019-12-01 21:02:58,Section 5,Material,,,6,Each,21.23,127.38,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-12-10 00:00:00,"1358009 - EB5/4, A14 Eastbound, Works Access EB5/4, Access Gate",SEC5 - Roadworks,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
5329,MREQ-27181-001025,27181,2019-12-01 21:02:58,Section 5,Material,,,40,Each,13.08,523.2,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-12-05 00:00:00,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",SEC5 - Roadworks,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
5330,MREQ-27181-001025,27181,2019-12-01 21:02:58,Section 5,Material,,,7,Each,126.04,882.28,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-12-05 00:00:00,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",SEC5 - Roadworks,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
5331,MREQ-27181-001025,27181,2019-12-01 21:02:58,Section 5,Material,,,2,Each,59.45,118.9,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-12-05 00:00:00,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",SEC5 - Roadworks,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
5332,MREQ-27181-001025,27181,2019-12-01 21:02:58,Section 5,Material,,,1,Each,80,80,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-12-05 00:00:00,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",SEC5 - Roadworks,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
5333,MREQ-27181-001025,27181,2019-12-01 21:02:58,Section 5,Material,,,1,Each,272.25,272.25,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-12-10 00:00:00,"1358009 - EB5/4, A14 Eastbound, Works Access EB5/4, Access Gate",SEC5 - Roadworks,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
5334,MREQ-27181-001025,27181,2019-12-01 21:02:58,Section 5,Material,,,1,Each,30,30,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-12-10 00:00:00,"1358009 - EB5/4, A14 Eastbound, Works Access EB5/4, Access Gate",SEC5 - Roadworks,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
5335,MREQ-27272-001025,27272,2019-12-03 13:45:55,Section 4,Material,Not on List,Not on List,32,Each,14.29,457.28,Builders Merchants (General),2019-12-06 00:00:00,RVP 427 - 1350307 - Girton - Accessed through A14 W/B towards A428 (on slip road),SC4C - Roadworks - Dry Drayton to Girton,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
5336,MREQ-27049-001025,27049,2019-11-27 15:12:13,Section 3,Material,Not on List,Not on List,3,ea,40.33,120.99,Miscellaneous,2019-12-04 00:00:00,Section 2 Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,PLM3 - Site Preliminaries,102 - Compound running costs,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers
5337,MREQ-27049-001025,27049,2019-11-27 15:12:13,Section 3,Material,Not on List,Not on List,3,ea,36.71,110.13,Miscellaneous,2019-12-04 00:00:00,Section 2 Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,PLM3 - Site Preliminaries,102 - Compound running costs,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers
5338,MREQ-27297-001025,27297,2019-12-03 17:36:56,Section 2,Material,Not on List,Not on List,1,,,0,Miscellaneous,2019-12-05 00:00:00,Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,PLM2 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,Req - S2 Buyers
5339,MREQ-27304-001025,27304,2019-12-04 06:49:31,Section 6,Material,Timber,Not on List,100,linier m,,0,Timber Products,2019-12-05 00:00:00,Section 2 Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,PLM6 - Site Preliminaries,153b - Temporary Works Viaduct- Miscelaneous,Stores - Closed,Yes - Approve,Yes - Approve,Req - S6 Buyers
5340,MREQ-26996-001025,26996,2019-11-26 14:34:41,Section 2,Material,Not on List,Not on List,3,ea,26.25,78.75,Small Tools (Consumables),2019-11-27 00:00:00,Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,SC2B - Roadworks - A14,702 - Pavement,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S2 Buyers
5341,MREQ-27134-001025,27134,2019-11-29 09:40:24,Section 2,Material,Not on List,Not on List,1,ea,628,628,Concrete Accessories,2019-12-02 00:00:00,Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,SC2B - Roadworks - A14,1104 - Footways and Paved Areas,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S2 Buyers
5342,MREQ-27122-001,27122,2019-11-29 07:43:52,Section 6,Material,Not on List,Not on List,5,Tubs,36.9,184.5,Builders Merchants (General),2019-12-05 00:00:00,S6MC – Mill Common - 1351842 - Mill Common Road Huntingdon  PE29 3AR,SEC6 - Huntingdon Viaduct works,2703 - Works on behalf of Statutory Undertakers,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S6 Buyers
5343,MREQ-27321-001025,27321,2019-12-04 11:42:21,Core,Material,Not on List,Not on List,1,No.,3000,3000,Miscellaneous,2019-12-04 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),PRLM - Preliminaries,102 - Compound running costs,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers
